Linux 4.15.0-211-generic (133414165dce) 	06/24/23 	_x86_64_	(96 CPU)

00:32:06        CPU     %user     %nice   %system   %iowait    %steal     %idle
00:34:19        all      0.21      0.00      0.98      0.00      0.00     98.81
00:34:20        all     31.14      0.02      2.87      0.00      0.00     65.97
00:34:21        all     38.68      0.01      2.45      0.00      0.00     58.86
00:34:22        all      0.18      0.02      1.03      0.00      0.00     98.77
00:34:23        all      0.24      0.01      0.94      0.00      0.00     98.81
00:34:24        all      0.17      0.02      1.00      0.00      0.00     98.81
00:34:25        all      0.19      0.03      0.98      0.00      0.00     98.80
00:34:26        all      0.19      0.01      0.96      0.00      0.00     98.84
00:34:27        all      0.48      0.03      1.74      0.00      0.00     97.75
00:34:28        all      0.24      0.01      0.99      0.00      0.00     98.76
00:34:29        all      0.19      0.01      1.03      0.00      0.00     98.77
00:34:30        all      0.20      0.01      0.93      0.00      0.00     98.86
00:34:31        all      0.21      0.01      0.98      0.00      0.00     98.80
00:34:32        all      0.19      0.02      1.02      0.00      0.00     98.77
00:34:33        all      0.21      0.02      1.03      0.00      0.00     98.74
00:34:34        all      0.21      0.02      0.92      0.00      0.00     98.85
00:34:35        all      0.19      0.00      1.06      0.00      0.00     98.75
00:34:36        all     32.71      0.02      5.97      0.00      0.00     61.30
00:34:37        all     21.46      0.02      2.51      0.00      0.00     76.02
00:34:38        all      0.28      0.01      0.94      0.00      0.00     98.77
00:34:39        all      0.19      0.01      0.98      0.00      0.00     98.82
00:34:40        all      0.22      0.00      0.93      0.00      0.00     98.85
00:34:41        all      0.16      0.02      1.05      0.00      0.00     98.77
00:34:42        all      0.22      0.00      0.95      0.00      0.00     98.83
00:34:43        all      0.18      0.03      1.08      0.00      0.00     98.72
00:34:44        all      0.21      0.01      0.93      0.00      0.00     98.85
00:34:45        all      0.23      0.02      0.98      0.00      0.00     98.77
00:34:46        all      0.19      0.01      0.95      0.00      0.00     98.85
00:34:47        all      0.49      0.02      1.87      0.00      0.00     97.62
00:34:48        all      0.22      0.01      0.96      0.00      0.00     98.81
00:34:49        all      0.26      0.03      0.93      0.00      0.00     98.78
00:34:50        all      0.27      0.01      0.94      0.00      0.00     98.78
00:34:51        all      0.22      0.02      0.95      0.00      0.00     98.81
00:34:52        all     27.87      0.01      5.63      0.00      0.00     66.49
00:34:53        all     42.83      0.02      2.38      0.00      0.00     54.77
00:34:54        all      0.34      0.02      1.00      0.00      0.00     98.63
00:34:55        all      0.18      0.02      0.98      0.00      0.00     98.82
00:34:56        all      0.18      0.01      0.98      0.00      0.00     98.83
00:34:57        all      0.49      0.01      1.84      0.00      0.00     97.66
00:34:58        all      0.20      0.02      1.02      0.00      0.00     98.76
00:34:59        all      0.18      0.01      0.99      0.00      0.00     98.82
00:35:00        all      0.26      0.02      0.98      0.00      0.00     98.74
00:35:01        all      0.23      0.02      0.99      0.00      0.00     98.76
00:35:02        all      0.22      0.02      0.94      0.00      0.00     98.82
00:35:03        all      0.17      0.02      1.02      0.00      0.00     98.79
00:35:04        all      0.19      0.02      1.00      0.00      0.00     98.79
00:35:05        all      0.23      0.02      1.09      0.00      0.00     98.66
00:35:06        all      0.24      0.00      0.93      0.00      0.00     98.83
00:35:07        all     33.73      0.02      6.66      0.00      0.00     59.58
00:35:08        all     33.58      0.01      1.63      0.00      0.00     64.77
00:35:09        all      0.25      0.01      0.99      0.00      0.00     98.75
00:35:10        all      0.17      0.02      1.07      0.00      0.00     98.74
00:35:11        all      0.24      0.01      0.97      0.00      0.00     98.78
00:35:12        all      0.21      0.03      0.96      0.00      0.00     98.80
00:35:13        all      0.60      0.02      1.65      0.05      0.00     97.68
00:35:14        all      0.21      0.01      1.03      0.00      0.00     98.75
00:35:15        all      0.22      0.01      1.02      0.00      0.00     98.75
00:35:16        all      0.20      0.01      0.96      0.00      0.00     98.83
00:35:17        all      0.34      0.01      1.38      0.00      0.00     98.27
00:35:18        all      0.33      0.02      1.37      0.00      0.00     98.28
00:35:19        all      0.22      0.01      1.00      0.00      0.00     98.77
00:35:20        all      0.17      0.01      1.02      0.00      0.00     98.80
00:35:21        all      0.24      0.01      0.98      0.00      0.00     98.77
00:35:22        all      0.18      0.01      1.01      0.00      0.00     98.80
00:35:23        all      0.25      0.01      0.98      0.00      0.00     98.76
00:35:24        all      7.82      0.02      2.55      0.00      0.00     89.60
00:35:25        all     50.69      0.01      3.14      0.00      0.00     46.16
00:35:26        all     11.39      0.01      1.32      0.00      0.00     87.28
00:35:27        all      0.27      0.01      1.18      0.00      0.00     98.54
00:35:28        all      0.43      0.01      1.50      0.00      0.00     98.06
00:35:29        all      0.19      0.01      0.99      0.00      0.00     98.81
00:35:30        all      0.25      0.02      0.97      0.00      0.00     98.76
00:35:31        all      0.23      0.00      0.94      0.00      0.00     98.83
00:35:32        all      0.25      0.01      0.95      0.00      0.00     98.79
00:35:33        all      0.22      0.01      0.95      0.00      0.00     98.82
00:35:34        all      0.19      0.01      0.99      0.00      0.00     98.81
00:35:35        all      0.16      0.01      0.99      0.00      0.00     98.84
00:35:36        all      0.18      0.02      0.98      0.00      0.00     98.82
00:35:37        all      0.21      0.02      0.96      0.00      0.00     98.81
00:35:38        all      0.53      0.00      1.72      0.00      0.00     97.74
00:35:39        all      0.20      0.01      1.09      0.00      0.00     98.71
00:35:40        all      0.22      0.01      0.94      0.00      0.00     98.83
00:35:41        all     20.32      0.01      4.98      0.00      0.00     74.69
00:35:42        all     46.68      0.01      1.83      0.00      0.00     51.48
00:35:43        all      0.32      0.01      1.02      0.00      0.00     98.64
00:35:44        all      0.17      0.00      0.94      0.00      0.00     98.89
00:35:45        all      0.16      0.01      0.99      0.00      0.00     98.84
00:35:46        all      0.18      0.01      0.99      0.00      0.00     98.82
00:35:47        all      0.24      0.01      0.95      0.00      0.00     98.80
00:35:48        all      0.56      0.01      1.83      0.00      0.00     97.60
00:35:49        all      0.26      0.01      0.95      0.00      0.00     98.78
00:35:50        all      0.25      0.02      0.92      0.00      0.00     98.81
00:35:51        all      0.22      0.02      1.01      0.00      0.00     98.75
00:35:52        all      0.20      0.02      0.97      0.00      0.00     98.81
00:35:53        all      0.24      0.01      0.93      0.00      0.00     98.82
00:35:54        all      0.20      0.03      1.02      0.00      0.00     98.75
00:35:55        all      0.19      0.02      0.96      0.00      0.00     98.83
00:35:56        all      0.22      0.02      0.92      0.00      0.00     98.84
00:35:57        all      0.18      0.00      0.98      0.00      0.00     98.84
00:35:58        all     32.75      0.02      7.02      0.00      0.00     60.21
00:35:59        all     25.09      0.02      1.57      0.00      0.00     73.32
00:36:00        all      0.28      0.00      0.93      0.00      0.00     98.79
00:36:01        all      0.24      0.01      0.87      0.00      0.00     98.88
00:36:02        all      0.19      0.01      0.95      0.00      0.00     98.85
00:36:03        all      0.22      0.01      0.98      0.00      0.00     98.79
00:36:04        all      0.20      0.01      0.95      0.00      0.00     98.84
00:36:05        all      0.22      0.01      0.98      0.00      0.00     98.79
00:36:06        all      0.23      0.02      0.95      0.00      0.00     98.80
00:36:07        all      0.20      0.02      0.96      0.00      0.00     98.82
00:36:08        all      0.59      0.00      1.62      0.00      0.00     97.79
00:36:09        all      0.32      0.02      0.97      0.00      0.00     98.68
00:36:10        all      0.19      0.02      1.01      0.00      0.00     98.78
00:36:11        all      0.24      0.02      0.95      0.00      0.00     98.79
00:36:12        all      0.24      0.02      0.91      0.00      0.00     98.83
00:36:13        all      0.57      0.01      1.33      0.02      0.00     98.07
00:36:14        all      8.38      0.00      5.05      0.03      0.00     86.54
00:36:15        all     52.17      0.02      1.86      0.00      0.00     45.94
00:36:16        all      4.15      0.02      1.31      0.00      0.00     94.52
00:36:17        all      0.19      0.03      0.99      0.00      0.00     98.79
00:36:18        all      0.54      0.01      1.57      0.00      0.00     97.88
00:36:19        all      0.19      0.01      0.98      0.00      0.00     98.82
00:36:20        all      0.22      0.03      0.94      0.00      0.00     98.81
00:36:21        all      0.22      0.02      0.93      0.00      0.00     98.83
00:36:22        all      0.23      0.02      1.00      0.00      0.00     98.75
00:36:23        all      0.20      0.01      0.99      0.00      0.00     98.80
00:36:24        all      0.22      0.01      0.90      0.00      0.00     98.87
